date,year,quarter,mapped_sector,ERI_Score_V1,Score_Res_V1,Score_Abs_V1,Score_Rec_V1,ERI_Score_V2,Score_Res_V2,Score_Abs_V2,Score_Rec_V2
2021-03-31,2021,1,Other Industries,0.7789473684210526,1.0,0.9999999999999999,0.26315789473684204,0.770609441979637,1.01,1.009767891527252,0.27315789473684204
2021-06-30,2021,2,Other Industries,0.7789473684210526,1.0,0.9999999999999999,0.26315789473684204,0.770609441979637,1.01,1.009767891527252,0.27315789473684204
2021-09-30,2021,3,Other Industries,0.7784392511571474,1.0,0.9983062757869824,0.26315789473684204,0.7700953362800925,1.01,1.007858846846645,0.27315789473684204
2021-12-31,2021,4,Other Industries,0.7782805648984994,1.0,0.997777321591489,0.26315789473684204,0.7702759321117687,1.01,1.0085291708366213,0.27315789473684204
2022-03-31,2022,1,Other Industries,0.7782805648984994,1.0,0.997777321591489,0.26315789473684204,0.7702759321117687,1.01,1.0085291708366213,0.27315789473684204
2022-06-30,2022,2,Other Industries,0.7786151252133544,1.0,0.9988925226410058,0.26315789473684204,0.7706719023846703,1.01,1.01,0.27315789473684204
2022-09-30,2022,3,Other Industries,0.7783836114295577,1.0,0.9981208100283501,0.26315789473684204,0.7704197511546699,1.01,1.0090632122827012,0.27315789473684204
2022-12-31,2022,4,Other Industries,0.778203751813147,1.0,0.9975212779736478,0.26315789473684204,0.7700093682023748,1.01,1.0075398656582861,0.27315789473684204
2023-03-31,2023,1,Other Industries,0.7781599535360613,1.0,0.9973752837166955,0.26315789473684204,0.7699090612652542,1.01,1.0071677700335884,0.27315789473684204
2023-06-30,2023,2,Other Industries,0.7783726441411901,1.0,0.9980842524004582,0.26315789473684204,0.7703845123906298,1.01,1.0089323423180414,0.27315789473684204
2023-09-30,2023,3,Other Industries,0.7783726441411901,1.0,0.9980842524004582,0.26315789473684204,0.7703845123906298,1.01,1.0089323423180414,0.27315789473684204
2023-12-31,2023,4,Other Industries,0.7778934665415644,1.0,0.9964869937350395,0.26315789473684204,0.7697972159383628,1.01,1.0067529853815158,0.27315789473684204
2024-03-31,2024,1,Other Industries,0.7779215523891945,1.0,0.9965806132271391,0.26315789473684204,0.7697994991059417,1.01,1.0067614514404333,0.27315789473684204
2024-06-30,2024,2,Other Industries,0.7779399238860387,1.0,0.9966418515499537,0.26315789473684204,0.7694143865493509,1.01,1.0053341462749765,0.27315789473684204
2024-09-30,2024,3,Other Industries,0.7771449206063552,1.0,0.9939918406176752,0.26315789473684204,0.7686655611356743,1.01,1.0025629033691914,0.27315789473684204
2024-12-31,2024,4,Other Industries,0.7758035604211659,1.0,0.9895206400003778,0.26315789473684204,0.7657500755151168,1.01,0.9918242405339187,0.27315789473684204
2019-12-31,2019,4,Other Services,0.7375074315960058,0.9583694552878186,0.7989532175678405,0.38157894736842096,0.8126846494741703,0.9665217391304348,0.8690057694893126,0.39157894736842097
2020-03-31,2020,1,Other Services,0.6563632116375301,0.7983674372716612,0.7878611399734119,0.3355263157894736,0.536300188207323,0.45202898550724624,0.8598172272715474,0.3455263157894736
2020-06-30,2020,2,Other Services,0.5800113020706826,0.730739077748223,0.6695785523607855,0.2894736842105262,0.47070682246818774,0.5027536231884058,0.6111507138804595,0.2994736842105262
2020-09-30,2020,3,Other Services,0.5485994644341101,0.688118028813025,0.6677531237314219,0.24342105263157887,0.4638149157755439,0.5534782608695652,0.6115667044031317,0.2534210526315789
2020-12-31,2020,4,Other Services,0.5087778781061321,0.660938870627752,0.6173060117974725,0.1973684210526315,0.42670144720845193,0.6042028985507246,0.5372544578915388,0.2073684210526315
2021-03-31,2021,1,Other Services,0.5066045764444306,0.6514089181498399,0.6128998551763857,0.20723684210526308,0.42844327985834396,0.5933333333333333,0.5308620136068618,0.2172368421052631
2021-06-30,2021,2,Other Services,0.5055603528085821,0.6425869636298891,0.6113132946975268,0.21710526315789466,0.4329580139659942,0.5824637681159419,0.5344944504608455,0.22710526315789467
2021-09-30,2021,3,Other Services,0.5034279057058135,0.6344217482990877,0.6052236704100686,0.22697368421052622,0.43836331248160343,0.5715942028985508,0.5421072630880777,0.23697368421052623
2021-12-31,2021,4,Other Services,0.5047491557845528,0.6268701553163493,0.6098282069302192,0.2368421052631578,0.42714019409568027,0.5607246376811593,0.4998935067731415,0.2468421052631578
2022-03-31,2022,1,Other Services,0.4982743684703852,0.6239063703605926,0.5889078221397921,0.24013157894736833,0.4478822656449163,0.5571014492753623,0.5614555397452594,0.2501315789473683
2022-06-30,2022,2,Other Services,0.49373375621687393,0.6210133917668013,0.5743402790689325,0.24342105263157887,0.4276538756662007,0.5534782608695652,0.4969444717309556,0.2534210526315789
2022-09-30,2022,3,Other Services,0.48632789659661046,0.6181896100314633,0.5501296489642942,0.24671052631578938,0.41866428003270717,0.5498550724637681,0.46903296786663895,0.2567105263157894
2022-12-31,2022,4,Other Services,0.39173095185548146,0.6154335008625816,0.23519183836816282,0.24999999999999992,0.36673226871196973,0.546231884057971,0.3364971285664706,0.2599999999999999
2023-03-31,2023,1,Other Services,0.4193657783218314,0.6467531143543217,0.23291686298630754,0.30263157894736836,0.35410447197462425,0.4882608695652173,0.2985411185298156,0.31263157894736837
2023-06-30,2023,2,Other Services,0.47362172586572326,0.695973487732145,0.29551127801481425,0.3552631578947367,0.3934511722832067,0.43028985507246365,0.3913632074804885,0.36526315789473673
2023-09-30,2023,3,Other Services,0.5233866724189634,0.7745279039682162,0.30402363259681775,0.4078947368421052,0.3846383096777296,0.37231884057971,0.3922640810559116,0.4178947368421052
2023-12-31,2023,4,Other Services,0.6108574439674178,1.0,0.24233183076858578,0.46052631578947356,0.7562766450614031,1.01,0.555856222581851,0.47052631578947357
2024-03-31,2024,1,Other Services,0.5986539578484493,0.9718159879960271,0.24581117374574235,0.45394736842105254,0.7243635189721775,0.9302898550724638,0.5570703067689651,0.46394736842105255
2024-06-30,2024,2,Other Services,0.6004690874616894,0.9619966859665181,0.2715329558643089,0.44736842105263147,0.7377149579185771,0.937536231884058,0.588751547885281,0.4573684210526315
2024-09-30,2024,3,Other Services,0.6086409686173794,0.9558441392942902,0.3135549026480007,0.4407894736842104,0.7658047090811088,0.9447826086956522,0.6570752875126675,0.4507894736842104
2024-12-31,2024,4,Other Services,0.5971190267504385,0.9519291876078227,0.286947312708575,0.4342105263157894,0.7226318641672904,0.9520289855072464,0.5603956834114784,0.4442105263157894
2019-12-31,2019,4,Professional Services,0.7654888423754683,0.9519291876078227,0.9139695051428849,0.36842105263157887,0.8355181337715701,0.9810144927536232,0.9543468342641309,0.3784210526315789
2020-03-31,2020,1,Professional Services,0.7319936105946024,0.8814107818668854,0.9193695893173892,0.3453947368421052,0.7886700066500164,0.9010630697219354,0.9651434190775392,0.3553947368421052
2020-06-30,2020,2,Professional Services,0.7071889669418145,0.8449297134818153,0.9083551841109965,0.3223684210526315,0.6895361361207873,0.7273913043478261,0.9404835054256391,0.33236842105263154
2020-09-30,2020,3,Professional Services,0.6896531405511646,0.8203865920531844,0.9056529071698118,0.29934210526315785,0.6809959743248387,0.7527536231884058,0.932432602303969,0.30934210526315786
2020-12-31,2020,4,Professional Services,0.6740809059019931,0.8032617212697656,0.8996049351732722,0.2763157894736841,0.6707303878375035,0.7781159420289855,0.9240598364052003,0.28631578947368413
2021-03-31,2021,1,Professional Services,0.6740605305512404,0.8009355358441413,0.8993491242207183,0.2796052631578947,0.6719693733309212,0.7744927536231884,0.9239857873537247,0.2896052631578947
